Price,Return_lag1,Return_lag2,Volatility_lag1,Volatility
Ticker,,,,
Date,,,,
2019-02-04,0.005788983808607595,0.016818790618479573,0.006649169866675592,0.0065834112555777004
2019-02-05,0.0017073807867935553,0.005788983808607595,0.0065834112555777004,0.006546298942139298
2019-02-06,0.0020252110586724825,0.0017073807867935553,0.006546298942139298,0.006962629968097531
2019-02-07,0.011715428033110209,0.0020252110586724825,0.006962629968097531,0.006909842615711142
2019-02-08,0.0006282690714798367,0.011715428033110209,0.006909842615711142,0.007372401788732061
2019-02-11,-0.011364733121095205,0.0006282690714798367,0.007372401788732061,0.007445123613442879
2019-02-12,-0.005007475295473629,-0.011364733121095205,0.007445123613442879,0.0074435334759168905
2019-02-14,-0.005271417887377283,-0.005007475295473629,0.0074435334759168905,0.006977647298320457
2019-02-15,-0.007879921603800577,-0.005271417887377283,0.006977647298320457,0.006980904555783484
2019-02-18,-0.002014639281967212,-0.007879921603800577,0.006980904555783484,0.007128826641572418
2019-02-19,-0.00778133902809619,-0.002014639281967212,0.007128826641572418,0.007139186279834327
2019-02-20,-0.0034395975233135756,-0.00778133902809619,0.007139186279834327,0.007627514553686336
2019-02-21,0.012362906803977669,-0.0034395975233135756,0.007627514553686336,0.007712521622930684
2019-02-22,0.005067269008080633,0.012362906803977669,0.007712521622930684,0.007502962801908167
2019-02-25,0.00016689586186968697,0.005067269008080633,0.007502962801908167,0.007714046346356721
2019-02-26,0.008196078963680797,0.00016689586186968697,0.007714046346356721,0.007633390950434779
2019-02-27,-0.004117591409631749,0.008196078963680797,0.007633390950434779,0.007220275725919253
2019-02-28,-0.002644081343287419,-0.004117591409631749,0.007220275725919253,0.007225519383587931
2019-03-01,-0.0013094150466157473,-0.002644081343287419,0.007225519383587931,0.007337505388891035
2019-03-05,0.006578642575862936,-0.0013094150466157473,0.007337505388891035,0.006830509041118817
2019-03-06,0.011409784628572783,0.006578642575862936,0.006830509041118817,0.006837197348156714
2019-03-07,0.005965879573721855,0.011409784628572783,0.006837197348156714,0.006833538397227481
2019-03-08,0.00047047817900125466,0.005965879573721855,0.006833538397227481,0.006850743356840238
2019-03-11,-0.0020618006804727917,0.00047047817900125466,0.006850743356840238,0.006876067544099375
2019-03-12,0.012020353532001593,-0.0020618006804727917,0.006876067544099375,0.007316258424701562
2019-03-13,0.011922438828049886,0.012020353532001593,0.007316258424701562,0.006757655974586819
2019-03-14,0.0035836901656514097,0.011922438828049886,0.006757655974586819,0.006592642432364376
2019-03-15,0.00013664659273393553,0.0035836901656514097,0.006592642432364376,0.006474492910412682
2019-03-18,0.007369987382364052,0.00013664659273393553,0.006474492910412682,0.006015339251126019
2019-03-19,0.0030936423551506387,0.007369987382364052,0.006015339251126019,0.005931338624528044
2019-03-20,0.006124495656707252,0.0030936423551506387,0.005931338624528044,0.005452083394771003
2019-03-22,-0.0009842344657688962,0.006124495656707252,0.005452083394771003,0.005610968427190811
2019-03-25,-0.005568018119008533,-0.0009842344657688962,0.005610968427190811,0.005888131685390703
2019-03-26,-0.008959700017030503,-0.005568018119008533,0.005888131685390703,0.006168768288235144
2019-03-27,0.011361384503600025,-0.008959700017030503,0.006168768288235144,0.006294485494157289
2019-03-28,-0.0033266013813597617,0.011361384503600025,0.006294485494157289,0.006437053201511983
2019-04-01,0.010917400749215211,-0.0033266013813597617,0.006437053201511983,0.006334970044906226
2019-04-02,0.008569610252809001,0.010917400749215211,0.006334970044906226,0.006173674218364316
2019-04-03,0.0037748939051200914,0.008569610252809001,0.006173674218364316,0.006442285890976918
2019-04-04,-0.005912133221091298,0.0037748939051200914,0.006442285890976918,0.006609647727125289
2019-04-05,-0.003946272059030087,-0.005912133221091298,0.006609647727125289,0.006369048581792851
2019-04-08,0.005858785593421345,-0.003946272059030087,0.006369048581792851,0.006565331501315665
2019-04-09,-0.005267483083991831,0.005858785593421345,0.006565331501315665,0.006592632783987118
2019-04-10,0.005812417192683883,-0.005267483083991831,0.006592632783987118,0.0068857482132610205
2019-04-11,-0.007509489773200095,0.005812417192683883,0.0068857482132610205,0.006520707153084169
2019-04-12,0.0010704480058416621,-0.007509489773200095,0.006520707153084169,0.006124476107798193
2019-04-15,0.0040313191867198395,0.0010704480058416621,0.006124476107798193,0.0061330143474826
2019-04-16,0.0040279653604204935,0.0040313191867198395,0.0061330143474826,0.006300293999007318
2019-04-18,0.008280400884877803,0.0040279653604204935,0.006300293999007318,0.006249139250223827
2019-04-22,-0.0029142400664389223,0.008280400884877803,0.006249139250223827,0.0070176483899190125
2019-04-23,-0.013473352052831178,-0.0029142400664389223,0.0070176483899190125,0.006913556578313881
2019-04-24,-0.0015955909670886115,-0.013473352052831178,0.006913556578313881,0.007444481086359263
2019-04-25,0.012975193636658888,-0.0015955909670886115,0.007444481086359263,0.0075227665652302465
2019-04-26,-0.007193374050953438,0.012975193636658888,0.0075227665652302465,0.007414524231799752
2019-04-30,0.009693568677590747,-0.007193374050953438,0.007414524231799752,0.007085017670125439
2019-05-02,-0.0005529726349993158,0.009693568677590747,0.007085017670125439,0.007049117999300849
2019-05-03,-0.001991836148409698,-0.0005529726349993158,0.007049117999300849,0.006697196012115243
2019-05-06,-0.0010661208128105448,-0.001991836148409698,0.006697196012115243,0.0067988447298791
2019-05-07,-0.00973339879186319,-0.0010661208128105448,0.0067988447298791,0.006968058445998962
2019-05-08,-0.008652133673183404,-0.00973339879186319,0.006968058445998962,0.007310223293030875
2019-05-09,-0.012041345863927244,-0.008652133673183404,0.007310223293030875,0.007335904455580358
2019-05-10,-0.005075103956069027,-0.012041345863927244,0.007335904455580358,0.0071558298815213245
2019-05-13,-0.0020261741013145596,-0.005075103956069027,0.0071558298815213245,0.007445689749459393
2019-05-14,-0.011588026384304118,-0.0020261741013145596,0.007445689749459393,0.007489621125098551
2019-05-15,0.006624352638199937,-0.011588026384304118,0.007489621125098551,0.00743394848979736
2019-05-16,-0.005796606308085428,0.006624352638199937,0.00743394848979736,0.007776532440630328
2019-05-17,0.008971910851931497,-0.005796606308085428,0.007776532440630328,0.008344338445383818
2019-05-20,0.013329435330307948,0.008971910851931497,0.008344338445383818,0.011725158527279456
2019-05-21,0.036915407876193296,0.013329435330307948,0.011725158527279456,0.011809603526146642
2019-05-22,-0.010073374389702572,0.036915407876193296,0.011809603526146642,0.011807224105242762
2019-05-23,0.0024596922232125173,-0.010073374389702572,0.011807224105242762,0.011515185384341684
2019-05-24,-0.006887993870017373,0.0024596922232125173,0.011515185384341684,0.01200177143673496
2019-05-27,0.016046067214389392,-0.006887993870017373,0.01200177143673496,0.011771454256422193
2019-05-28,0.006809330661248669,0.016046067214389392,0.011771454256422193,0.011627514868656992
